股號,公司,五年內發放次數,最近一次發放,上次紀念品,最近股價,五年紀念品總估值,新版性價比,新版推薦評分,去年條件,五年發放紀念品
8916,光隆,5,2025,7-11 50元商品卡,47,225,3.35,5 星,電子投票截圖和身分證件正本,"(2025)7-11 50元商品卡
(2024)羽毛胜肽乾洗手噴霧
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡35元"
8927,北基,2,2025,油票25元,24.05,50,0.58,3 星,電子投票截圖和身分證件正本,"(2025)油票25元
(2022)25元公司油票"
8933,愛地雅,2,2025,香皂一顆,6.73,100,5.94,5 星,電子投票截圖,"(2025)香皂一顆
(2024)伊莎貝爾櫻花香皂75克一入"
8935,邦泰,5,2025,Luminarc20cm晶鑽浮雕白玉深盤,19.1,200,10.47,5 星,電子投票截圖,"(2025)Luminarc20cm晶鑽浮雕白玉深盤
(2024)T-KI成人旅行組(硬盒)
(2023)驅塵氏雙軌密封夾鏈袋10入
(2022)醫療口罩10入(邦泰)
(2021)六都美防護口罩(紀念版)"
8936,國統,6,2025,國統保溫保冷袋,53.7,250,5.59,5 星,電子投票截圖,"(2025)國統保溫保冷袋
(2024)7-11中杯美式或現萃茶提貨卡
(2023)7-11中杯美式或現萃茶提貨卡
(2022)7-11商品卡50元
(2021)康寧餐碗一入
(2021)7-11中杯美式或現萃茶提貨卡"
8996,高力,2,2024,7-11商品卡50元,899,100,0.04,1 星,電子投票截圖,"(2024)7-11商品卡50元
(2023)7-11商品卡50元"
9902,台火,5,2025,蜂王小草本皂二入,14.8,250,16.89,5 星,電子投票截圖,"(2025)蜂王小草本皂二入
(2024)蜂王洋甘菊舒緩潤膚皂60克二入
(2023)春之玫瑰精油造形香皂二顆
(2022)蜂王植萃天然皂70克二入(台火)
(2021)蜂王植萃天然皂 70克二入組"
9912,偉聯,5,2025,全家 35元商品卡,12.2,175,14.34,5 星,電子投票截圖,"(2025)全家 35元商品卡
(2024)全家禮物卡35元
(2023)全家禮物卡35元
(2022)全家禮物卡35元
(2021)全家禮物卡35元"
9914,美利達,5,2025,7-11 100元商品卡,69.2,500,7.23,5 星,電子投票截圖,"(2025)7-11 100元商品卡
(2024)7-11商品卡100元
(2023)7-11商品卡100元
(2022)7-11商品卡100元
(2021)7-11商品卡100元"
9917,中保科,1,2023,7-11商品卡100元,113,100,0.18,2 星,,(2023)7-11商品卡100元
9918,欣天然,1,2024,妙管家濃縮洗衣精(600g),47.75,50,0.21,2 星,電子投票截圖,(2024)妙管家濃縮洗衣精(600g)
9919,康那香,5,2025,口罩(9919)(不可上架商城),15.6,200,12.82,5 星,電子投票截圖,"(2025)口罩(9919)(不可上架商城)
(2024)康乃馨口罩一盒30入
(2023)康乃馨 水濕巾80抽
(2022)康乃馨 水濕巾80抽
(2021)康乃馨 水濕巾80抽"
9935,慶豐富,5,2025,全家 50元商品卡,19.55,250,12.79,5 星,電子投票截圖,"(2025)全家 50元商品卡
(2024)宜睿好禮即享券50元
(2023)全家禮贈卡50元(慶豐富 期限23/11/30)
(2022)全家企業禮贈卡50元(慶豐富 期限20221130)
(2021)全家企業禮贈卡50元(慶豐富 期限11/30)"
9937,全國,1,2021,德國 Pril 高效能洗碗精 675克,56.9,50,0.18,2 星,,(2021)德國 Pril 高效能洗碗精 675克
9938,百和,3,2023,竹碳襪2雙,48.7,130,1.6,5 星,,"(2023)竹碳襪2雙
(2021)竹碳襪2雙
(2021)全家禮物卡50元"
9951,皇田,1,2024,7-11商品卡35元,54.4,35,0.09,1 星,電子投票截圖或身分證件圖片,(2024)7-11商品卡35元
9958,世紀鋼,5,2025,環保折疊購物袋,127.5,210,1.65,5 星,電子投票截圖,"(2025)環保折疊購物袋
(2024)環保購物袋(揚智台通世紀鋼)
(2023)可摺疊桌面手機支架(圓剛)
(2022)藍色收納袋
(2021)蜂王草本抗菌皂二入"
9962,有益,2,2024,7-11商品卡35元,11.15,70,2.51,5 星,電子投票截圖,"(2024)7-11商品卡35元
(2022)7-11商品卡35元"
